103.2335	-4.9264	44.1	9
1	    22	28.72	
1	    19	31.72	
1	    10	35.72	
1	    9	46.72	
1	    11	50.52	
1	    8	63.72	
1	    13	61.92	
1	    14	73.12	
1	    25	76.22	
102.5056	-5.154	33.0	9
1	    22	26.91	
1	    19	40.31	
1	    10	43.51	
1	    9	52.51	
1	    11	57.31	
1	    13	67.31	
1	    8	70.91	
1	    14	80.11	
1	    25	82.61	
105.398	-6.975	65.8	10
1	    9	10.11	
2	    9	18.11	
1	    11	17.61	
2	    11	29.11	
1	    10	25.61	
2	    10	42.81	
1	    8	26.71	
2	    8	46.11	
1	    14	33.11	
2	    14	56.91	
105.227	-6.126	33.0	9
1	    10	16.07	
2	    10	28.47	
1	    9	10.17	
2	    9	17.67	
1	    11	16.17	
1	    19	24.77	
1	    8	30.37	
2	    8	52.87	
1	    14	39.77	
105.148	-6.145	9.7	9
1	    10	11.28	
2	    10	19.18	
1	    9	13.68	
1	    11	19.18	
2	    11	29.38	
1	    8	33.58	
2	    8	54.88	
1	    14	42.88	
2	    14	71.88	
107.5277	-7.288	95.8	10
1	    14	14.34	
2	    14	24.74	
1	    25	15.24	
1	    8	20.44	
2	    8	35.24	
1	    11	30.34	
2	    11	52.34	
1	    9	30.34	
2	    9	53.34	
1	    10	45.34	
107.9439	-7.9037	106.2	10
1	    14	20.53	
2	    14	36.13	
2	    13	47.73	
1	    13	27.13	
1	    8	29.73	
2	    8	51.43	
1	    9	41.63	
2	    9	72.73	
1	    10	55.13	
2	    10	96.73	
108.8184	-9.2869	38.1	9
1	    17	34.61	
2	    17	53.61	
1	    25	42.11	
1	    18	41.01	
1	    15	48.11	
1	    1	56.81	
1	    24	60.31	
1	    19	85.61	
1	    22	116.71	
107.712	-9.0843	19.0	9
1	    25	38.26	
1	    17	41.36	
2	    17	65.26	
1	    18	40.86	
1	    15	41.46	
1	    1	49.86	
1	    24	51.86	
1	    19	76.46	
1	    22	106.96	
107.4951	-9.837	8.7	9
1	    25	46.14	
1	    17	51.04	
2	    17	92.64	
1	    18	50.44	
1	    15	49.54	
1	    1	57.94	
1	    24	59.84	
1	    19	86.64	
1	    22	112.94	
107.8995	-7.8213	35.0	9
1	    25	23.99	
1	    18	25.79	
1	    15	30.49	
1	    17	32.19	
2	    17	58.49	
1	    1	41.29	
1	    24	44.09	
1	    19	70.29	
1	    22	102.59	
107.0129	-7.7581	87.3	9
1	    25	21.07	
1	    15	19.77	
1	    1	27.77	
1	    18	28.57	
1	    24	29.47	
1	    17	41.67	
2	    17	78.47	
1	    19	53.07	
1	    22	84.07	
103.1746	-7.3159	26.4	11
1	    6	42.86	
1	    24	47.56	
1	    33	50.56	
1	    32	53.96	
1	    1	65.16	
1	    22	53.26	
1	    15	56.46	
1	    25	66.76	
1	    5	93.36	
1	    17	94.26	
2	    17	177.36	
104.3655	-5.9591	34.4	9
1	    19	26.17	
1	    24	30.17	
1	    1	38.17	
1	    33	39.57	
1	    32	39.87	
1	    15	43.27	
1	    22	50.17	
1	    25	54.27	
1	    17	83.17	
106.1714	-7.0448	90.6	9
1	    33	8.1	
1	    32	14.8	
1	    24	17.2	
1	    1	18.5	
1	    25	23.5	
1	    19	39.1	
1	    17	50.1	
2	    17	93.4	
1	    22	70.8	
107.5839	-6.089	293.8	11
1	    25	39.4	
1	    15	40.3	
1	    1	41.0	
1	    32	41.2	
1	    33	42.8	
1	    24	44.0	
1	    5	46.7	
1	    17	50.0	
2	    17	89.9	
1	    19	57.8	
1	    22	86.8	
104.9636	-6.7248	46.0	11
1	    24	20.66	
1	    6	23.36	
1	    33	25.06	
1	    1	27.36	
1	    32	27.86	
1	    19	31.36	
1	    15	30.76	
1	    22	60.36	
1	    5	65.26	
1	    17	69.96	
2	    17	117.36	
105.9888	-7.4257	64.2	10
1	    33	10.5	
1	    32	18.1	
1	    24	21.1	
1	    15	18.0	
1	    1	22.8	
1	    25	26.8	
1	    19	44.4	
1	    5	43.4	
1	    17	55.1	
1	    22	75.7	
107.0565	-8.3928	53.7	11
1	    33	22.76	
1	    25	25.36	
1	    32	30.16	
1	    5	30.36	
1	    18	31.36	
1	    1	37.16	
1	    24	38.36	
1	    17	40.86	
1	    6	55.06	
1	    19	63.46	
1	    22	95.26	
107.289	-5.8617	317.7	11
2	    15	74.41	
2	    1	74.11	
2	    32	74.81	
2	    25	76.61	
1	    18	43.51	
2	    24	77.81	
2	    33	77.81	
1	    6	50.81	
2	    5	92.71	
1	    19	55.11	
2	    17	99.31	
103.2101	-7.1906	32.1	11
1	    6	41.05	
1	    19	42.95	
1	    24	46.25	
1	    33	49.05	
1	    32	52.75	
1	    15	55.35	
1	    25	65.75	
1	    18	79.75	
1	    5	93.55	
1	    17	93.75	
2	    17	170.65	
107.8388	-8.0899	71.0	11
1	    5	21.12	
1	    25	21.12	
1	    18	23.02	
1	    33	27.22	
1	    32	29.52	
1	    15	27.32	
1	    17	30.22	
2	    17	56.32	
1	    1	35.52	
1	    24	40.32	
1	    19	65.32	
107.8636	-8.1536	100.0	9
1	    5	20.66	
1	    25	22.96	
1	    18	24.56	
1	    33	28.56	
1	    32	31.66	
1	    15	29.26	
1	    17	30.56	
2	    17	58.46	
1	    24	42.06	
107.7986	-8.02	74.4	10
1	    25	22.01	
2	    25	54.21	
1	    5	19.31	
1	    18	23.61	
1	    33	26.21	
1	    30	29.91	
1	    32	30.51	
1	    15	27.71	
1	    17	29.91	
1	    24	39.51	
105.42	-6.0249	19.1	10
1	    24	12.01	
1	    1	21.31	
1	    32	22.01	
1	    15	26.01	
1	    33	24.71	
1	    25	38.61	
1	    18	52.31	
1	    22	59.81	
1	    5	65.11	
1	    17	71.51	
107.5732	-8.0928	53.6	10
1	    25	22.83	
1	    5	23.43	
1	    33	25.23	
1	    32	29.83	
1	    18	26.33	
1	    15	27.03	
1	    1	40.33	
1	    17	33.93	
1	    24	39.93	
1	    6	58.03	
107.7732	-9.6852	48.8	10
1	    5	34.46	
1	    25	42.06	
1	    33	41.96	
1	    17	44.26	
1	    18	44.16	
1	    32	47.06	
1	    15	44.76	
1	    24	56.76	
1	    6	72.46	
1	    22	112.06	
106.6627	-7.4655	15.9	13
1	    33	9.42	
1	    32	16.12	
2	    32	28.82	
1	    15	15.82	
2	    25	47.92	
1	    25	20.42	
1	    1	22.92	
2	    1	40.12	
1	    24	25.12	
1	    18	30.02	
1	    6	42.22	
1	    17	48.52	
1	    19	51.72	
106.5367	-9.0334	34.1	10
1	    33	31.01	
2	    25	57.01	
1	    25	38.21	
1	    32	37.61	
1	    15	36.61	
1	    1	43.01	
1	    24	43.01	
1	    18	44.31	
1	    17	53.71	
1	    19	63.61	
104.3572	-6.6147	38.8	10
1	    6	25.36	
1	    19	30.76	
1	    24	27.86	
1	    33	38.56	
1	    1	35.56	
1	    15	39.06	
1	    25	49.46	
1	    22	52.86	
1	    18	63.16	
1	    17	78.86	
107.8676	-8.5711	35.5	10
1	    5	22.24	
1	    25	29.04	
1	    33	31.64	
1	    18	31.44	
1	    17	34.04	
1	    32	36.74	
1	    1	43.14	
1	    24	46.24	
1	    19	71.44	
1	    22	104.54	
107.3064	-6.6586	135.7	13
2	    25	34.36	
1	    25	18.86	
1	    15	18.36	
2	    32	35.76	
1	    32	20.06	
2	    33	34.16	
1	    33	19.06	
1	    18	23.66	
1	    24	27.16	
1	    5	32.96	
1	    17	40.66	
1	    19	49.46	
1	    22	82.46	
106.8686	-7.7871	39.2	15
1	    33	19.87	
2	    33	32.57	
1	    25	23.17	
2	    25	36.17	
1	    32	25.57	
2	    32	41.17	
1	    15	23.07	
2	    15	40.17	
1	    24	34.37	
2	    24	53.57	
1	    18	30.47	
2	    18	53.07	
1	    17	42.77	
1	    19	60.47	
1	    22	90.57	
108.8132	-9.8507	30.8	9
1	    5	33.46	
2	    5	62.06	
1	    17	40.86	
1	    25	49.36	
1	    18	48.76	
1	    32	56.36	
2	    32	103.06	
1	    15	54.36	
1	    22	123.16	
105.9588	-7.1475	91.1	14
1	    33	13.49	
2	    33	26.59	
1	    32	19.79	
2	    32	36.99	
1	    24	20.29	
1	    15	19.79	
1	    1	23.19	
2	    1	41.69	
1	    25	28.19	
1	    18	36.69	
1	    19	39.49	
2	    17	99.09	
1	    17	55.49	
1	    22	69.69	
107.4517	-9.3761	31.6	11
2	    5	58.86	
1	    33	37.86	
2	    33	68.96	
1	    25	39.26	
2	    25	75.96	
1	    15	41.66	
1	    24	52.36	
2	    24	93.46	
1	    6	66.46	
1	    19	76.76	
1	    22	106.26	
102.9621	-4.8657	76.0	12
1	    22	20.81	
2	    22	38.31	
1	    19	28.81	
2	    19	51.21	
1	    6	34.81	
2	    6	66.11	
1	    24	50.91	
2	    24	89.21	
1	    1	56.41	
2	    1	101.71	
1	    15	64.21	
1	    25	74.21	
104.9771	-6.926	51.3	9
1	    24	21.91	
2	    24	36.61	
1	    32	28.11	
2	    32	49.51	
1	    15	31.21	
2	    15	53.21	
1	    19	34.31	
1	    25	41.51	
2	    25	71.61	
106.8916	-7.8219	60.3	9
1	    25	21.7	
2	    25	38.5	
1	    32	23.8	
2	    32	39.6	
1	    15	21.5	
2	    15	38.5	
1	    24	32.5	
1	    5	32.0	
2	    5	55.7	
106.8149	-7.0592	100.0	9
1	    32	14.09	
2	    32	30.39	
1	    15	17.99	
1	    25	16.99	
1	    1	19.49	
1	    24	21.69	
1	    3	27.29	
1	    40	41.99	
1	    38	55.69	
102.7899	-4.5371	64.5	10
1	    16	9.5	
2	    16	17.1	
1	    22	17.6	
2	    22	29.6	
1	    43	19.7	
1	    38	24.6	
1	    40	31.6	
2	    40	53.8	
1	    19	31.6	
1	    25	67.3	
105.8674	-5.4202	201.3	12
1	    3	27.11	
2	    3	46.71	
2	    24	48.61	
2	    1	53.31	
2	    19	56.71	
1	    40	33.11	
2	    40	57.41	
1	    15	34.61	
1	    38	38.91	
2	    25	73.41	
1	    25	40.71	
1	    22	60.11	
105.3597	-5.9789	57.0	14
1	    3	4.3	
1	    6	9.0	
1	    24	9.6	
1	    40	15.0	
1	    19	20.7	
2	    19	40.2	
1	    1	19.3	
1	    32	22.4	
2	    32	42.5	
1	    15	26.1	
1	    34	26.5	
1	    38	30.3	
1	    25	36.9	
1	    16	44.6	
105.4294	-5.9306	44.0	13
1	    3	4.4	
1	    6	10.0	
1	    24	9.6	
1	    40	15.3	
1	    19	21.2	
1	    1	19.4	
1	    32	22.6	
1	    15	26.2	
1	    34	27.2	
1	    38	30.9	
1	    25	40.0	
1	    16	44.6	
1	    22	57.4	
108.1863	-7.9479	113.8	9
1	    25	23.29	
1	    32	32.99	
1	    1	37.39	
1	    24	42.59	
1	    3	48.79	
1	    19	66.99	
1	    34	75.09	
1	    38	76.49	
1	    22	102.09	
106.6497	-7.3623	117.6	10
1	    25	22.96	
2	    25	39.76	
1	    1	24.06	
2	    1	40.56	
1	    24	25.76	
2	    24	44.86	
1	    3	30.26	
1	    40	45.46	
2	    40	77.36	
1	    38	58.16	
102.6344	-7.6942	10.0	11
1	    40	45.35	
2	    40	75.75	
1	    37	49.65	
1	    16	51.55	
2	    16	91.55	
1	    38	55.55	
2	    38	95.65	
1	    19	57.25	
1	    22	63.65	
1	    15	67.45	
1	    25	78.85	
102.6512	-4.3259	60.6	14
1	    16	10.93	
2	    16	18.83	
1	    22	15.83	
2	    22	27.73	
1	    43	23.13	
1	    38	26.33	
2	    38	46.73	
1	    40	34.03	
2	    40	58.53	
1	    19	36.13	
1	    3	52.93	
1	    24	59.93	
1	    1	68.53	
1	    25	82.13	
105.2572	-5.8812	152.7	10
1	    3	21.55	
2	    3	37.35	
1	    40	24.45	
2	    40	40.75	
2	    37	42.15	
1	    37	23.85	
2	    24	43.25	
1	    19	25.65	
1	    38	32.15	
1	    22	54.05	
104.0375	-6.4428	45.5	9
1	    40	16.96	
1	    37	25.46	
1	    19	28.96	
1	    3	28.16	
1	    38	31.16	
1	    24	32.86	
1	    16	36.76	
1	    22	47.56	
1	    25	52.36	
102.1053	-4.4036	64.5	11
1	    16	14.11	
1	    22	13.61	
1	    38	31.41	
2	    38	58.31	
1	    40	40.11	
2	    40	68.11	
1	    3	60.51	
1	    37	61.01	
1	    24	65.31	
1	    15	80.21	
1	    25	90.81	
102.9605	-4.9667	66.2	15
1	    16	13.01	
2	    16	22.91	
1	    38	21.91	
2	    38	39.21	
1	    22	23.61	
2	    22	41.21	
1	    40	26.71	
2	    40	45.51	
1	    19	31.21	
1	    3	49.31	
2	    3	81.61	
2	    37	84.41	
1	    37	48.31	
1	    24	58.71	
1	    25	76.61	
102.9535	-7.7913	49.9	14
1	    40	40.91	
2	    40	71.71	
1	    37	44.51	
2	    37	77.71	
1	    34	45.01	
2	    34	80.11	
2	    16	89.71	
1	    38	50.81	
2	    38	93.21	
1	    32	59.61	
2	    32	107.91	
2	    43	104.61	
1	    15	61.21	
2	    22	105.91	
105.7045	-6.6579	87.3	15
1	    37	6.59	
2	    37	13.29	
1	    3	16.19	
2	    3	30.29	
1	    1	18.99	
1	    40	26.09	
2	    40	47.29	
1	    25	30.69	
2	    25	60.19	
1	    19	32.79	
2	    34	65.69	
1	    38	41.39	
2	    38	75.39	
1	    16	52.39	
1	    22	63.59	
104.1005	-5.0107	141.2	12
1	    34	19.21	
1	    38	20.51	
2	    38	35.71	
1	    40	21.51	
2	    40	36.01	
1	    19	22.61	
1	    6	26.21	
1	    16	27.51	
2	    16	47.61	
1	    3	33.11	
1	    22	35.51	
1	    37	36.61	
105.7468	-6.012	176.9	15
1	    3	23.31	
2	    3	40.81	
1	    24	23.71	
2	    24	41.81	
1	    37	25.21	
